Date,Time,Main Chamber O2 (ppm),Airlock O2 (ppm)
03/15/2024,00:02:32,103.17,86.2
03/15/2024,00:02:33,111.25,83.91
03/15/2024,00:02:34,143.62,76.51
03/15/2024,00:02:35,143.56,71.77
03/15/2024,00:02:36,121.78,81.78
03/15/2024,00:02:37,110.25,80.73
03/15/2024,00:02:38,135.44,85.29
03/15/2024,00:02:39,135.11,89.21
03/15/2024,00:02:40,119.79,78.15
03/15/2024,00:02:41,127.83,82.96
03/15/2024,00:02:42,133.64,77.62
03/15/2024,00:02:43,131.65,84.16
03/15/2024,00:02:44,143.25,72.55
03/15/2024,00:02:45,119.51,85.72
03/15/2024,00:02:46,127.43,86.43
03/15/2024,00:02:47,119.66,80.46
03/15/2024,00:02:48,114.31,89.65
03/15/2024,00:02:49,106.31,71.77
03/15/2024,00:02:50,122.77,84.06
03/15/2024,00:02:51,100.11,85.23
03/15/2024,00:02:52,149.47,71.22
03/15/2024,00:02:53,109.87,76.57
03/15/2024,00:02:54,122.33,82.31
03/15/2024,00:02:55,110.57,78.13
03/15/2024,00:02:56,141.41,87.02
03/15/2024,00:02:57,105.88,88.94
03/15/2024,00:02:58,110.33,87.96
03/15/2024,00:02:59,123.55,88.84
03/15/2024,00:03:00,107.22,87.96
03/15/2024,00:03:01,136.84,83.07
03/15/2024,00:03:02,139.6,84.66
03/15/2024,00:03:03,138.51,89.09
03/15/2024,00:03:04,146.45,87.73
03/15/2024,00:03:05,115.36,73.41
03/15/2024,00:03:06,117.9,80.91
03/15/2024,00:03:07,142.72,79.17
03/15/2024,00:03:08,142.09,87.41
03/15/2024,00:03:09,101.55,86.02
03/15/2024,00:03:10,143.53,88.71
03/15/2024,00:03:11,118.41,75.21
03/15/2024,00:03:12,139.55,81.9
03/15/2024,00:03:12,146.65,73.68
03/15/2024,00:03:13,116.9,80.76
03/15/2024,00:03:14,121.42,78.98
03/15/2024,00:03:14,130.99,87.04
03/15/2024,00:03:15,149.25,77.68
03/15/2024,00:03:15,136.39,82.16
03/15/2024,00:03:16,111.38,88.57
03/15/2024,00:03:16,117.58,85.22
03/15/2024,00:03:17,126.32,70.56
03/15/2024,00:03:17,143.8,79.91
03/15/2024,00:03:18,142.67,81.56
03/15/2024,00:03:18,130.96,72.5
03/15/2024,00:03:19,143.07,84.86
03/15/2024,00:03:19,127.24,76.94
03/15/2024,00:03:20,125.44,78.5
03/15/2024,00:03:20,117.36,84.6
03/15/2024,00:03:21,137.45,74.61
03/15/2024,00:03:21,113.15,87.24
03/15/2024,00:03:22,103.55,85.25
03/15/2024,00:03:22,132.74,70.3
03/15/2024,00:03:23,147.59,82.89
03/15/2024,00:03:23,143.59,71.81
03/15/2024,00:03:24,138.21,71.87
03/15/2024,00:03:24,113.42,83.66
03/15/2024,00:03:25,108.63,75.48
03/15/2024,00:03:25,126.85,83.93
03/15/2024,00:03:26,141.58,75.97
03/15/2024,00:03:26,108.14,84.4
03/15/2024,00:03:27,135.68,80.67
03/15/2024,00:03:27,103.57,87.54
03/15/2024,00:03:28,126.53,80.74
03/15/2024,00:03:28,147.28,80.07
03/15/2024,00:03:29,113.84,86.17
03/15/2024,00:03:29,130.04,78.04
03/15/2024,00:03:30,102.3,76.35
03/15/2024,00:03:30,136.69,83.54
03/15/2024,00:03:31,132.39,73.8
03/15/2024,00:03:31,132.4,74.15
03/15/2024,00:03:32,145.26,80.98
03/15/2024,00:03:32,108.98,70.66
03/15/2024,00:03:33,124.65,71.81
03/15/2024,00:03:33,145.27,76.05
03/15/2024,00:03:34,114.86,83.78
03/15/2024,00:03:34,144.15,75.49
03/15/2024,00:03:35,106.56,88.37
03/15/2024,00:03:35,101.16,86.26
03/15/2024,00:03:36,139.95,87.78
03/15/2024,00:03:36,118.7,82.81
03/15/2024,00:03:37,144.9,88.89
03/15/2024,00:03:37,123.21,76.74
03/15/2024,00:03:38,133.07,70.28
03/15/2024,00:03:38,138.3,88.84
03/15/2024,00:03:39,134.64,76.04
03/15/2024,00:03:39,104.54,87.55
03/15/2024,00:03:40,115.97,73.01
03/15/2024,00:03:41,112.69,82.11
03/15/2024,00:03:41,145.53,73.25
03/15/2024,00:03:42,114.5,82.16
03/15/2024,00:03:42,115.48,70.51
03/15/2024,00:03:43,147.66,80.83
03/15/2024,00:03:43,103.46,81.07
03/15/2024,00:03:44,108.64,73.24
03/15/2024,00:03:44,134.76,84.63
03/15/2024,00:03:45,101.57,81.68
03/15/2024,00:03:45,110.96,73.99
03/15/2024,00:03:46,106.65,83.94
03/15/2024,00:03:46,103.71,86.12
03/15/2024,00:03:47,148.47,86.88
03/15/2024,00:03:47,106.03,74.31
03/15/2024,00:03:48,119.44,70.0
03/15/2024,00:03:48,127.72,72.58
03/15/2024,00:03:49,108.86,76.28
03/15/2024,00:03:49,127.28,86.54
03/15/2024,00:03:50,116.4,75.26
03/15/2024,00:03:50,133.35,87.5
03/15/2024,00:03:51,123.31,84.41
03/15/2024,00:03:51,112.56,78.54
03/15/2024,00:03:51,105.21,87.67
03/15/2024,00:03:52,141.06,70.51
03/15/2024,00:03:52,101.42,74.78
03/15/2024,00:03:52,127.82,84.9
03/15/2024,00:03:53,108.99,77.08
03/15/2024,00:03:53,147.84,73.54
03/15/2024,00:03:53,114.73,70.65
03/15/2024,00:03:54,128.88,70.31
03/15/2024,00:03:54,123.17,74.39
03/15/2024,00:03:54,134.39,84.59
03/15/2024,00:03:55,147.6,76.06
03/15/2024,00:03:55,146.45,86.67
03/15/2024,00:03:55,131.97,81.23
03/15/2024,00:03:56,119.3,78.05
03/15/2024,00:03:56,119.42,83.09
03/15/2024,00:03:56,116.18,87.78
03/15/2024,00:03:57,101.76,70.42
03/15/2024,00:03:57,116.46,74.07
03/15/2024,00:03:57,134.17,89.61
03/15/2024,00:03:58,135.03,73.31
03/15/2024,00:03:58,107.54,73.27
03/15/2024,00:03:58,120.85,76.96
03/15/2024,00:03:59,136.19,86.09
03/15/2024,00:03:59,134.32,73.49
03/15/2024,00:03:59,135.98,87.98
03/15/2024,00:03:59,143.54,82.43
03/15/2024,00:04:00,118.0,76.56
03/15/2024,00:04:00,123.71,75.68
03/15/2024,00:04:00,111.6,75.82
03/15/2024,00:04:00,107.21,88.55
03/15/2024,00:04:01,135.51,80.68
03/15/2024,00:04:01,108.01,72.22
03/15/2024,00:04:01,144.49,84.76
03/15/2024,00:04:01,138.47,79.33
03/15/2024,00:04:02,143.51,74.24
03/15/2024,00:04:02,128.91,82.39
03/15/2024,00:04:02,111.17,84.52
03/15/2024,00:04:02,140.66,82.7
03/15/2024,00:04:03,131.28,70.0
03/15/2024,00:04:03,146.58,72.76
03/15/2024,00:04:03,142.71,73.23
03/15/2024,00:04:03,103.79,83.2
03/15/2024,00:04:04,138.24,81.15
03/15/2024,00:04:04,124.52,86.4
03/15/2024,00:04:04,113.89,78.76
03/15/2024,00:04:04,115.78,85.47
03/15/2024,00:04:05,106.4,87.34
03/15/2024,00:04:05,118.68,76.86
03/15/2024,00:04:05,130.4,84.19
03/15/2024,00:04:05,138.38,81.26
03/15/2024,00:04:06,107.47,80.32
03/15/2024,00:04:06,114.26,86.49
03/15/2024,00:04:06,120.92,85.52
03/15/2024,00:04:06,109.97,75.89
03/15/2024,00:04:07,110.76,87.85
03/15/2024,00:04:07,139.39,89.39
03/15/2024,00:04:07,108.62,70.96
03/15/2024,00:04:07,125.51,86.74
03/15/2024,00:04:07,127.48,76.41
03/15/2024,00:04:08,147.95,84.74
03/15/2024,00:04:08,129.85,88.93
03/15/2024,00:04:08,134.09,85.9
03/15/2024,00:04:08,110.16,80.3
03/15/2024,00:04:08,102.8,86.58
03/15/2024,00:04:09,147.72,89.15
03/15/2024,00:04:09,114.63,85.91
03/15/2024,00:04:09,108.62,83.44
03/15/2024,00:04:09,113.59,87.38
03/15/2024,00:04:09,101.94,82.42
03/15/2024,00:04:10,143.84,89.31
03/15/2024,00:04:10,144.46,72.89
03/15/2024,00:04:10,119.35,82.06
03/15/2024,00:04:10,139.97,70.71
03/15/2024,00:04:10,124.88,89.63
03/15/2024,00:04:11,118.48,73.16
03/15/2024,00:04:11,149.52,70.14
03/15/2024,00:04:11,100.48,82.17
03/15/2024,00:04:11,136.56,71.87
03/15/2024,00:04:11,133.24,80.87
03/15/2024,00:04:12,100.84,87.43
03/15/2024,00:04:12,112.92,76.23
03/15/2024,00:04:12,106.49,89.53
03/15/2024,00:04:12,148.36,75.33
03/15/2024,00:04:12,149.41,74.55
03/15/2024,00:04:13,147.65,77.73
03/15/2024,00:04:13,121.86,79.24
03/15/2024,00:04:13,125.76,85.51
03/15/2024,00:04:13,147.15,83.02
03/15/2024,00:04:13,142.2,86.65
03/15/2024,00:04:14,142.51,72.16
03/15/2024,00:04:14,139.57,86.7
03/15/2024,00:04:14,118.66,71.87
03/15/2024,00:04:14,136.2,83.03
03/15/2024,00:04:14,106.36,81.68
03/15/2024,00:04:15,142.81,70.83
03/15/2024,00:04:15,141.2,85.59
03/15/2024,00:04:15,131.07,73.62
03/15/2024,00:04:15,139.47,86.61
03/15/2024,00:04:15,121.61,81.61
03/15/2024,00:04:16,100.46,82.34
03/15/2024,00:04:16,144.91,71.36
03/15/2024,00:04:16,120.22,75.82
03/15/2024,00:04:16,127.94,81.44
03/15/2024,00:04:16,141.74,81.02
03/15/2024,00:04:17,100.29,74.52
03/15/2024,00:04:17,130.55,84.14
03/15/2024,00:04:17,139.88,75.89
03/15/2024,00:04:17,109.77,86.42
03/15/2024,00:04:17,108.59,80.66
03/15/2024,00:04:18,119.38,88.32
03/15/2024,00:04:18,120.3,83.84
03/15/2024,00:04:18,128.38,76.82
03/15/2024,00:04:18,135.47,81.45
03/15/2024,00:04:18,130.15,89.79
03/15/2024,00:04:19,142.88,74.13
03/15/2024,00:04:19,120.39,72.4
03/15/2024,00:04:19,137.62,85.94
03/15/2024,00:04:19,125.75,85.41
03/15/2024,00:04:19,131.54,78.67
03/15/2024,00:04:20,131.89,74.48
03/15/2024,00:04:20,125.33,88.46
03/15/2024,00:04:20,144.5,71.13
03/15/2024,00:04:20,137.05,85.37
03/15/2024,00:04:20,148.55,78.23
03/15/2024,00:04:21,130.13,87.0
03/15/2024,00:04:21,130.25,70.34
03/15/2024,00:04:21,148.25,83.6
03/15/2024,00:04:21,112.92,87.91
03/15/2024,00:04:21,133.47,89.33
03/15/2024,00:04:22,141.09,72.45
03/15/2024,00:04:22,125.32,82.93
03/15/2024,00:04:23,120.51,85.05
03/15/2024,00:04:23,148.22,89.75
03/15/2024,00:04:23,115.58,78.19
03/15/2024,00:04:23,121.72,73.07
03/15/2024,00:04:23,146.0,76.58
03/15/2024,00:04:24,116.19,82.22
03/15/2024,00:04:24,104.94,75.47
03/15/2024,00:04:24,125.68,85.27
03/15/2024,00:04:24,115.69,86.43
03/15/2024,00:04:24,141.5,85.73
03/15/2024,00:04:25,119.55,70.56
03/15/2024,00:04:25,117.22,88.74
03/15/2024,00:04:25,131.01,76.69
03/15/2024,00:04:25,139.66,72.67
03/15/2024,00:04:25,112.66,89.84
